"play_id","session_id","content_id","skipped","seconds_played"
"P00012404","SS00004388","C022113","",234
"P00012405","SS00004388","C001100","",1225
"P00012406","SS00004388","C021931","",156
"P00012407","SS00004389","C009866","",2558
"P00012408","SS00004389","C024703",1,24
"P00012409","SS00004390","C013881","",123
"P00012410","SS00004390","C012126","",116
"P00012411","SS00004390","C032669","",109
"P00012412","SS00004391","C000736","",1306
"P00012413","SS00004391","C029091","",170
"P00012414","SS00004392","C020673","",180
"P00012415","SS00004392","C030995","",1804
"P00012416","SS00004392","C009263","",1626
"P00012417","SS00004392","C005455",1,16
"P00012418","SS00004393","C017969","",141
"P00012419","SS00004393","C033337",1,13
"P00012420","SS00004393","C016042","",163
"P00012421","SS00004394","C018069","",263
"P00012422","SS00004394","C019023","",1008
"P00012423","SS00004394","C020265","",678
"P00012424","SS00004394","C002984",1,20
"P00012425","SS00004394","C026477","",149
"P00012426","SS00004394","C028075","",144
"P00012427","SS00004394","C030314",1,15
"P00012428","SS00004395","C009028",1,23
"P00012429","SS00004395","C018580",1,42
"P00012430","SS00004396","C030748",1,21
"P00012431","SS00004396","C029901","",132
"P00012432","SS00004396","C025389","",103
"P00012433","SS00004397","C019429","",197
"P00012434","SS00004397","C025178","",243
"P00012435","SS00004397","C009228","",911
"P00012436","SS00004397","C025946",1,27
"P00012437","SS00004398","C026970","",232
"P00012438","SS00004398","C025489","",136
"P00012439","SS00004398","C009273","",562
"P00012440","SS00004399","C005261","",640
"P00012441","SS00004399","C033783","",2034
"P00012442","SS00004399","C011406","",160
"P00012443","SS00004400","C028675","",2020
"P00012444","SS00004400","C030726","",1621
"P00012445","SS00004400","C028408","",473
"P00012446","SS00004401","C020811","",97
"P00012447","SS00004401","C025774",1,37
"P00012448","SS00004401","C002867","",162
"P00012449","SS00004402","C005330",1,36
"P00012450","SS00004402","C011038","",244
"P00012451","SS00004403","C001132","",818
"P00012452","SS00004403","C011019","",117
"P00012453","SS00004404","C019366","",97
"P00012454","SS00004404","C018468",1,16
"P00012455","SS00004404","C024141",1,24
"P00012456","SS00004405","C009982","",1717
"P00012457","SS00004405","C027529","",1627
"P00012458","SS00004406","C031245","",133
"P00012459","SS00004406","C019559","",126
"P00012460","SS00004407","C012800","",241
"P00012461","SS00004407","C016976",1,5
"P00012462","SS00004407","C017484",1,38
"P00012463","SS00004408","C011367",1,6
"P00012464","SS00004408","C027075","",189
"P00012465","SS00004409","C026221","",1271
"P00012466","SS00004409","C001491","",733
"P00012467","SS00004409","C023590","",490
"P00012468","SS00004409","C032334",1,11
"P00012469","SS00004409","C010326","",171
"P00012470","SS00004410","C015617","",118
"P00012471","SS00004410","C016273","",169
"P00012472","SS00004410","C014772","",231
"P00012473","SS00004410","C013019",1,13
"P00012474","SS00004410","C031422",1,24
"P00012475","SS00004411","C013595","",197
"P00012476","SS00004411","C025432","",1512
"P00012477","SS00004411","C016360","",558
"P00012478","SS00004412","C000294",1,15
"P00012479","SS00004412","C009548","",204
"P00012480","SS00004412","C001075",1,33
"P00012481","SS00004413","C000028","",1834
"P00012482","SS00004413","C026279","",1334
"P00012483","SS00004414","C022309","",1354
"P00012484","SS00004414","C009309","",625
"P00012485","SS00004415","C014698","",2203
"P00012486","SS00004415","C015082","",1360
"P00012487","SS00004415","C001199","",136
"P00012488","SS00004416","C029418","",226
"P00012489","SS00004416","C026613","",128
"P00012490","SS00004416","C001653",1,15
"P00012491","SS00004416","C013431",1,29
"P00012492","SS00004417","C002004",1,13
"P00012493","SS00004417","C018346","",742
"P00012494","SS00004417","C027662",1,42
"P00012495","SS00004418","C002083","",115
"P00012496","SS00004418","C025595","",181
"P00012497","SS00004418","C018400",1,34
"P00012498","SS00004419","C012124",1,42
"P00012499","SS00004419","C003548","",176
"P00012500","SS00004420","C000290","",160
"P00012501","SS00004420","C016676","",669
"P00012502","SS00004420","C026014","",229
"P00012503","SS00004420","C009362",1,27
"P00012504","SS00004420","C033001",1,34
"P00012505","SS00004421","C023374","",147
"P00012506","SS00004421","C007844",1,5
"P00012507","SS00004421","C025660","",662
"P00012508","SS00004421","C028770","",105
"P00012509","SS00004421","C000131",1,11
"P00012510","SS00004422","C010416","",194
"P00012511","SS00004422","C031946","",920
"P00012512","SS00004423","C014689","",1695
"P00012513","SS00004423","C003592","",2006
"P00012514","SS00004424","C008755","",147
"P00012515","SS00004424","C021873",1,8
"P00012516","SS00004424","C017362","",158
"P00012517","SS00004425","C030423","",1498
"P00012518","SS00004425","C015291","",987
"P00012519","SS00004425","C015462","",187
"P00012520","SS00004426","C007250",1,10
"P00012521","SS00004426","C030169","",215
"P00012522","SS00004426","C022329",1,11
"P00012523","SS00004427","C000852","",144
"P00012524","SS00004427","C015170","",190
"P00012525","SS00004428","C028206","",210
"P00012526","SS00004428","C000538","",118
"P00012527","SS00004428","C026665","",572
"P00012528","SS00004429","C013272","",124
"P00012529","SS00004429","C007239","",536
"P00012530","SS00004429","C009558","",230
"P00012531","SS00004430","C029134","",147
"P00012532","SS00004430","C030381","",612
"P00012533","SS00004430","C002015","",1947
"P00012534","SS00004431","C023630","",119
"P00012535","SS00004431","C019347",1,28
"P00012536","SS00004431","C003569","",109
"P00012537","SS00004431","C015813","",131
"P00012538","SS00004432","C029967",1,31
"P00012539","SS00004432","C008402","",141
"P00012540","SS00004432","C021757","",1380
"P00012541","SS00004432","C033282","",114
"P00012542","SS00004432","C003389","",1716
"P00012543","SS00004433","C005159","",163
"P00012544","SS00004433","C018178","",223
"P00012545","SS00004433","C023798","",215
"P00012546","SS00004433","C012474","",128
"P00012547","SS00004434","C015597","",105
"P00012548","SS00004434","C002920",1,44
"P00012549","SS00004434","C030604","",96
"P00012550","SS00004434","C030937","",1237
"P00012551","SS00004435","C021365","",145
"P00012552","SS00004435","C028422",1,22
"P00012553","SS00004435","C028449",1,11
"P00012554","SS00004435","C006955","",276
"P00012555","SS00004436","C016496","",170
"P00012556","SS00004436","C032528","",184
"P00012557","SS00004437","C001768",1,40
"P00012558","SS00004437","C030087","",1189
"P00012559","SS00004438","C013561","",962
"P00012560","SS00004438","C000674","",299
"P00012561","SS00004439","C012645",1,17
"P00012562","SS00004439","C000155","",857
"P00012563","SS00004440","C015580","",1342
"P00012564","SS00004440","C017488","",1996
"P00012565","SS00004440","C009092","",236
"P00012566","SS00004440","C001772",1,40
"P00012567","SS00004440","C000840","",254
"P00012568","SS00004441","C027524","",160
"P00012569","SS00004441","C025015",1,37
"P00012570","SS00004442","C002191","",553
"P00012571","SS00004442","C018383",1,10
"P00012572","SS00004443","C010650","",95
"P00012573","SS00004443","C028550","",133
"P00012574","SS00004444","C013313",1,23
"P00012575","SS00004444","C032147","",132
"P00012576","SS00004444","C010318","",1306
"P00012577","SS00004445","C029395","",109
"P00012578","SS00004445","C024990",1,25
"P00012579","SS00004445","C015855",1,26
"P00012580","SS00004446","C011524","",141
"P00012581","SS00004446","C023568","",1067
"P00012582","SS00004447","C004850","",126
"P00012583","SS00004447","C019706","",331
"P00012584","SS00004447","C032670","",1777
"P00012585","SS00004447","C018236","",1286
"P00012586","SS00004448","C025891","",204
"P00012587","SS00004448","C003830",1,12
"P00012588","SS00004448","C002948","",246
"P00012589","SS00004449","C022203","",185
"P00012590","SS00004449","C001586","",922
"P00012591","SS00004450","C002741","",232
"P00012592","SS00004450","C021631","",184
"P00012593","SS00004450","C011731","",1506
"P00012594","SS00004450","C006274","",246
"P00012595","SS00004451","C010240","",130
"P00012596","SS00004451","C028590",1,20
"P00012597","SS00004452","C003171",1,13
"P00012598","SS00004452","C015264",1,35
"P00012599","SS00004453","C032997","",1014
"P00012600","SS00004453","C019464","",152
"P00012601","SS00004453","C015340","",237
"P00012602","SS00004454","C030333",1,14
"P00012603","SS00004454","C027926","",1349
"P00012604","SS00004454","C020911","",186
"P00012605","SS00004455","C022100","",271
"P00012606","SS00004455","C016088","",236
"P00012607","SS00004455","C025131","",344
"P00012608","SS00004456","C027656","",253
"P00012609","SS00004456","C025444","",151
"P00012610","SS00004457","C016529","",137
"P00012611","SS00004457","C006035","",179
"P00012612","SS00004457","C028374","",143
"P00012613","SS00004458","C016781",1,36
"P00012614","SS00004458","C030360","",1795
"P00012615","SS00004459","C025117","",758
"P00012616","SS00004459","C002976",1,8
"P00012617","SS00004459","C016507","",208
"P00012618","SS00004459","C027130","",153
"P00012619","SS00004460","C025635","",107
"P00012620","SS00004460","C017720",1,18
"P00012621","SS00004460","C032582",1,6
"P00012622","SS00004461","C028650","",156
"P00012623","SS00004461","C033364","",164
"P00012624","SS00004462","C013654","",1111
"P00012625","SS00004462","C014016",1,25
"P00012626","SS00004462","C028300","",1828
"P00012627","SS00004462","C003090","",139
"P00012628","SS00004463","C010011","",150
"P00012629","SS00004463","C011805","",215
"P00012630","SS00004464","C029610",1,41
"P00012631","SS00004464","C023204","",133
"P00012632","SS00004464","C003936",1,10
"P00012633","SS00004464","C027047","",677
"P00012634","SS00004465","C000893",1,37
"P00012635","SS00004465","C013604","",176
"P00012636","SS00004465","C000124","",230
"P00012637","SS00004466","C011566",1,9
"P00012638","SS00004466","C005986",1,22
"P00012639","SS00004466","C028433",1,37
"P00012640","SS00004467","C002723","",169
"P00012641","SS00004467","C002701",1,15
"P00012642","SS00004468","C031917","",97
"P00012643","SS00004468","C004344","",116
"P00012644","SS00004468","C023584","",211
"P00012645","SS00004468","C018023","",536
"P00012646","SS00004468","C019275","",1289
"P00012647","SS00004469","C027221",1,38
"P00012648","SS00004469","C028984","",224
"P00012649","SS00004470","C025931","",214
"P00012650","SS00004470","C020027",1,6
"P00012651","SS00004470","C015902",1,26
"P00012652","SS00004471","C017858",1,24
"P00012653","SS00004471","C008063","",663
"P00012654","SS00004472","C007389",1,13
"P00012655","SS00004472","C027646","",156
"P00012656","SS00004472","C011856",1,10
"P00012657","SS00004473","C016530","",1697
"P00012658","SS00004473","C003396","",730
"P00012659","SS00004474","C025378","",147
"P00012660","SS00004474","C031641","",203
"P00012661","SS00004474","C015671",1,23
"P00012662","SS00004475","C007912","",272
"P00012663","SS00004475","C017554","",136
"P00012664","SS00004475","C016234","",202
"P00012665","SS00004476","C022180",1,44
"P00012666","SS00004476","C018417","",1835
"P00012667","SS00004477","C031553","",218
"P00012668","SS00004477","C019002","",188
"P00012669","SS00004478","C000902","",122
"P00012670","SS00004478","C004912","",139
"P00012671","SS00004478","C022445",1,16
"P00012672","SS00004478","C002274","",154
"P00012673","SS00004479","C026645",1,33
"P00012674","SS00004479","C011658","",151
"P00012675","SS00004480","C032535","",198
"P00012676","SS00004480","C002892","",1069
"P00012677","SS00004480","C025238","",169
"P00012678","SS00004480","C012283","",191
"P00012679","SS00004481","C015128","",328
"P00012680","SS00004481","C027470","",208
"P00012681","SS00004481","C031121","",225
"P00012682","SS00004481","C012043","",245
"P00012683","SS00004482","C007521","",710
"P00012684","SS00004482","C000550",1,39
"P00012685","SS00004482","C027908","",128
"P00012686","SS00004482","C013682","",172
"P00012687","SS00004482","C015211","",144
"P00012688","SS00004483","C015006","",1510
"P00012689","SS00004483","C019692",1,21
"P00012690","SS00004483","C017813",1,9
"P00012691","SS00004484","C023666",1,36
"P00012692","SS00004484","C028642","",191
"P00012693","SS00004484","C005630",1,41
"P00012694","SS00004485","C024887","",137
"P00012695","SS00004485","C022186","",245
"P00012696","SS00004486","C014751","",1464
"P00012697","SS00004486","C022778",1,10
"P00012698","SS00004486","C026049","",184
"P00012699","SS00004487","C023488","",1052
"P00012700","SS00004487","C007898","",1090
"P00012701","SS00004488","C020048","",234
"P00012702","SS00004488","C012581","",140
"P00012703","SS00004488","C028087","",1811
"P00012704","SS00004489","C026178","",202
"P00012705","SS00004489","C005282","",1312
"P00012706","SS00004490","C015130","",220
"P00012707","SS00004490","C014055","",97
"P00012708","SS00004490","C010014",1,15
"P00012709","SS00004490","C033165","",332
"P00012710","SS00004490","C006107","",113
"P00012711","SS00004491","C002490","",1630
"P00012712","SS00004491","C005272","",256
"P00012713","SS00004491","C009238","",1840
"P00012714","SS00004492","C013118","",184
"P00012715","SS00004492","C002094","",944
"P00012716","SS00004493","C018895",1,42
"P00012717","SS00004493","C032501","",1802
"P00012718","SS00004493","C026418","",114
"P00012719","SS00004494","C033812","",103
"P00012720","SS00004494","C000277","",153
"P00012721","SS00004494","C012626","",217
"P00012722","SS00004495","C017849","",262
"P00012723","SS00004495","C003767",1,33
"P00012724","SS00004496","C026123","",181
"P00012725","SS00004496","C013400","",168
"P00012726","SS00004496","C009714","",180
"P00012727","SS00004496","C012397","",174
"P00012728","SS00004497","C010098",1,14
"P00012729","SS00004497","C001659","",759
"P00012730","SS00004498","C015637","",244
"P00012731","SS00004498","C020134","",244
"P00012732","SS00004498","C028199",1,6
"P00012733","SS00004499","C029543","",147
"P00012734","SS00004499","C027051","",178
"P00012735","SS00004500","C002113",1,26
"P00012736","SS00004500","C030681",1,22
"P00012737","SS00004501","C024421","",497
"P00012738","SS00004501","C017557",1,33
"P00012739","SS00004502","C033544","",158
"P00012740","SS00004502","C026099","",223
"P00012741","SS00004502","C017460",1,24
"P00012742","SS00004503","C027988","",234
"P00012743","SS00004503","C026621",1,20
"P00012744","SS00004503","C021669",1,41
"P00012745","SS00004503","C017309","",1425
"P00012746","SS00004504","C005379",1,6
"P00012747","SS00004504","C025500","",111
"P00012748","SS00004505","C001635","",182
"P00012749","SS00004505","C020212","",193
"P00012750","SS00004506","C005936","",112
"P00012751","SS00004506","C030185","",209
"P00012752","SS00004506","C004698","",1960
"P00012753","SS00004507","C012801",1,39
"P00012754","SS00004507","C031040","",237
"P00012755","SS00004508","C002578","",150
"P00012756","SS00004508","C000536",1,20
"P00012757","SS00004509","C003523","",139
"P00012758","SS00004509","C017030","",1147
"P00012759","SS00004509","C002363","",1303
"P00012760","SS00004510","C019007","",114
"P00012761","SS00004510","C002123",1,34
"P00012762","SS00004511","C012026","",264
"P00012763","SS00004511","C012590","",180
"P00012764","SS00004512","C002275",1,33
"P00012765","SS00004512","C021233",1,6
"P00012766","SS00004512","C015900","",165
"P00012767","SS00004513","C033077","",115
"P00012768","SS00004513","C012147","",227
"P00012769","SS00004513","C005694","",145
"P00012770","SS00004513","C004367",1,33
"P00012771","SS00004514","C005291","",113
"P00012772","SS00004514","C018904",1,26
"P00012773","SS00004515","C012287",1,28
"P00012774","SS00004515","C002675","",1600
"P00012775","SS00004515","C011360","",126
"P00012776","SS00004516","C033715",1,11
"P00012777","SS00004516","C027767","",119
"P00012778","SS00004516","C024676",1,42
"P00012779","SS00004517","C007467","",170
"P00012780","SS00004517","C001037","",659
"P00012781","SS00004518","C005549","",233
"P00012782","SS00004518","C008613","",166
"P00012783","SS00004519","C030326","",210
"P00012784","SS00004519","C010616","",168
"P00012785","SS00004519","C010896",1,12
"P00012786","SS00004520","C013074",1,30
"P00012787","SS00004520","C026420","",164
"P00012788","SS00004521","C004915","",106
"P00012789","SS00004521","C019494",1,41
"P00012790","SS00004522","C021431",1,13
"P00012791","SS00004522","C010669","",555
"P00012792","SS00004522","C017628","",118
"P00012793","SS00004523","C012790","",132
"P00012794","SS00004523","C030684",1,44
"P00012795","SS00004523","C002700","",1265
"P00012796","SS00004524","C022656","",94
"P00012797","SS00004524","C003245",1,24
"P00012798","SS00004524","C016696",1,22
"P00012799","SS00004525","C030502","",94
"P00012800","SS00004525","C005972","",629
"P00012801","SS00004525","C002450","",1770
"P00012802","SS00004526","C028675","",262
"P00012803","SS00004526","C000177",1,27
"P00012804","SS00004527","C020215",1,15
"P00012805","SS00004527","C031288","",212
"P00012806","SS00004527","C022095","",3005
"P00012807","SS00004528","C001127",1,12
"P00012808","SS00004528","C006325","",176
"P00012809","SS00004528","C021974","",665
"P00012810","SS00004529","C012589",1,20
"P00012811","SS00004529","C007109",1,21
"P00012812","SS00004530","C004924","",95
"P00012813","SS00004530","C021905","",114
"P00012814","SS00004531","C025066","",111
"P00012815","SS00004531","C006307","",125
"P00012816","SS00004531","C014630",1,15
"P00012817","SS00004532","C028952","",174
"P00012818","SS00004532","C028812","",110
"P00012819","SS00004533","C024638","",178
"P00012820","SS00004533","C015090","",289
"P00012821","SS00004534","C020389","",1051
"P00012822","SS00004534","C008277","",143
"P00012823","SS00004534","C024653","",125
"P00012824","SS00004534","C002787","",168
"P00012825","SS00004535","C006625","",182
"P00012826","SS00004535","C001423",1,22
"P00012827","SS00004535","C000340","",1241
"P00012828","SS00004535","C020201","",1212
"P00012829","SS00004535","C031403","",1554
"P00012830","SS00004536","C011904","",856
"P00012831","SS00004536","C020646","",159
"P00012832","SS00004536","C006069","",92
"P00012833","SS00004537","C019267","",1405
"P00012834","SS00004537","C026747","",180
"P00012835","SS00004538","C005661","",99
"P00012836","SS00004538","C033857",1,36
"P00012837","SS00004539","C002388","",227
"P00012838","SS00004539","C029503","",722
"P00012839","SS00004539","C012253","",1022
"P00012840","SS00004539","C001956","",983
"P00012841","SS00004540","C014739",1,9
"P00012842","SS00004540","C009811",1,17
"P00012843","SS00004540","C033833","",1267
"P00012844","SS00004541","C027585","",154
"P00012845","SS00004541","C013417","",340
"P00012846","SS00004542","C026050","",161
"P00012847","SS00004542","C000874","",96
"P00012848","SS00004542","C018714","",181
"P00012849","SS00004542","C018879",1,9
"P00012850","SS00004543","C021306","",631
"P00012851","SS00004543","C022578","",159
"P00012852","SS00004543","C009299","",239
"P00012853","SS00004543","C012450","",2365
"P00012854","SS00004544","C025465","",207
"P00012855","SS00004544","C019565",1,22
"P00012856","SS00004545","C031580","",187
"P00012857","SS00004545","C012627","",296
"P00012858","SS00004546","C008155","",182
"P00012859","SS00004546","C006358",1,28
"P00012860","SS00004547","C015413","",145
"P00012861","SS00004547","C002667","",1634
"P00012862","SS00004547","C007704",1,16
"P00012863","SS00004547","C020421","",176
"P00012864","SS00004548","C020843","",210
"P00012865","SS00004548","C000131","",216
"P00012866","SS00004548","C026885","",1127
"P00012867","SS00004548","C028276",1,15
"P00012868","SS00004549","C010756","",1127
"P00012869","SS00004549","C031118","",1308
"P00012870","SS00004549","C024057","",587
"P00012871","SS00004550","C000103","",1758
"P00012872","SS00004550","C025741","",181
"P00012873","SS00004550","C010495","",1367
"P00012874","SS00004551","C031182","",183
"P00012875","SS00004551","C027157","",233
"P00012876","SS00004552","C025630","",110
"P00012877","SS00004552","C025822","",140
"P00012878","SS00004552","C014574","",238
"P00012879","SS00004553","C013274","",205
"P00012880","SS00004553","C026050","",187
"P00012881","SS00004554","C021045","",1392
"P00012882","SS00004554","C018244","",199
"P00012883","SS00004555","C016376","",179
"P00012884","SS00004555","C007415","",201
"P00012885","SS00004555","C022741","",889
"P00012886","SS00004555","C030762","",159
"P00012887","SS00004555","C006913",1,34
"P00012888","SS00004556","C032104","",119
"P00012889","SS00004556","C028129","",744
"P00012890","SS00004556","C017590","",208
"P00012891","SS00004557","C030850","",1439
"P00012892","SS00004557","C014058",1,38
"P00012893","SS00004557","C031028",1,26
"P00012894","SS00004558","C017197",1,16
"P00012895","SS00004558","C011463","",224
"P00012896","SS00004558","C026863","",214
"P00012897","SS00004559","C016013","",213
"P00012898","SS00004559","C014663","",3124
"P00012899","SS00004560","C017075","",868
"P00012900","SS00004560","C030472",1,26
"P00012901","SS00004561","C014477",1,22
"P00012902","SS00004561","C004815","",164
"P00012903","SS00004562","C023178","",186
"P00012904","SS00004562","C030361","",179
"P00012905","SS00004562","C027384","",1119
"P00012906","SS00004562","C030945","",108
"P00012907","SS00004563","C009310","",1720
"P00012908","SS00004563","C015728","",2410
"P00012909","SS00004564","C005890",1,17
"P00012910","SS00004564","C007475",1,33
"P00012911","SS00004564","C014366","",117
"P00012912","SS00004564","C029215","",186
"P00012913","SS00004565","C020464",1,5
"P00012914","SS00004565","C012328",1,36
"P00012915","SS00004565","C019957",1,17
"P00012916","SS00004565","C029094",1,8
"P00012917","SS00004566","C023621","",206
"P00012918","SS00004566","C027240","",102
"P00012919","SS00004566","C009335","",110
"P00012920","SS00004566","C000621","",1067
"P00012921","SS00004566","C021119","",211
"P00012922","SS00004567","C011160",1,30
"P00012923","SS00004567","C023769","",270
"P00012924","SS00004567","C028451","",186
"P00012925","SS00004567","C027895","",212
"P00012926","SS00004568","C015079","",142
"P00012927","SS00004568","C024073","",800
"P00012928","SS00004568","C000187","",150
"P00012929","SS00004569","C008606",1,28
"P00012930","SS00004569","C024211",1,6
"P00012931","SS00004570","C001846",1,27
"P00012932","SS00004570","C021365","",217
"P00012933","SS00004571","C007245",1,12
"P00012934","SS00004571","C002305","",1384
"P00012935","SS00004572","C002209","",188
"P00012936","SS00004572","C028034",1,37
"P00012937","SS00004572","C033819","",278
"P00012938","SS00004572","C021555","",1395
"P00012939","SS00004572","C016073","",270
"P00012940","SS00004573","C022227",1,6
"P00012941","SS00004573","C030305","",208
"P00012942","SS00004573","C018360","",107
"P00012943","SS00004574","C005343","",161
"P00012944","SS00004574","C033574","",191
"P00012945","SS00004574","C026957",1,37
"P00012946","SS00004574","C015528","",257
"P00012947","SS00004575","C014541","",757
"P00012948","SS00004575","C000386",1,43
"P00012949","SS00004575","C024206","",226
"P00012950","SS00004575","C006092","",240
"P00012951","SS00004576","C015643","",97
"P00012952","SS00004576","C009369","",193
"P00012953","SS00004577","C004184","",1881
"P00012954","SS00004577","C013558",1,8
"P00012955","SS00004577","C026413","",1276
"P00012956","SS00004578","C033429","",139
"P00012957","SS00004578","C002819","",165
"P00012958","SS00004578","C008513","",227
"P00012959","SS00004578","C027216","",1632
"P00012960","SS00004579","C005530","",116
"P00012961","SS00004579","C020262","",1871
"P00012962","SS00004579","C002573","",180
"P00012963","SS00004580","C019427","",282
"P00012964","SS00004580","C006751","",120
"P00012965","SS00004580","C001473",1,42
"P00012966","SS00004581","C015689","",165
"P00012967","SS00004581","C018111",1,5
"P00012968","SS00004582","C022171","",1651
"P00012969","SS00004582","C028432","",2048
"P00012970","SS00004583","C013093",1,30
"P00012971","SS00004583","C023190","",240
"P00012972","SS00004584","C031311","",1581
"P00012973","SS00004584","C012197","",2716
"P00012974","SS00004584","C033752","",94
"P00012975","SS00004584","C019719",1,32
"P00012976","SS00004585","C001662","",177
"P00012977","SS00004585","C029223","",224
"P00012978","SS00004585","C025035","",202
"P00012979","SS00004586","C006102","",123
"P00012980","SS00004586","C023149",1,7
"P00012981","SS00004587","C006126","",2064
"P00012982","SS00004587","C021142","",114
"P00012983","SS00004588","C026273","",2003
"P00012984","SS00004588","C000410",1,21
"P00012985","SS00004589","C025281","",143
"P00012986","SS00004589","C012733","",113
"P00012987","SS00004589","C031679",1,43
"P00012988","SS00004590","C008823","",214
"P00012989","SS00004590","C025383","",183
"P00012990","SS00004591","C007391",1,10
"P00012991","SS00004591","C012295","",1286
"P00012992","SS00004591","C008354",1,25
"P00012993","SS00004592","C022052","",175
"P00012994","SS00004592","C028014","",146
"P00012995","SS00004592","C007370",1,34
"P00012996","SS00004592","C002683",1,14
"P00012997","SS00004593","C029766","",132
"P00012998","SS00004593","C033245","",208
"P00012999","SS00004593","C001596","",1586
"P00013000","SS00004594","C006844",1,41
"P00013001","SS00004594","C008506","",196
"P00013002","SS00004594","C012208","",844
"P00013003","SS00004595","C027460","",1902
"P00013004","SS00004595","C025583","",1131
"P00013005","SS00004596","C031812","",244
"P00013006","SS00004596","C027344","",897
"P00013007","SS00004596","C005017","",138
"P00013008","SS00004597","C027590","",240
"P00013009","SS00004597","C007933","",114
"P00013010","SS00004598","C011925","",1258
"P00013011","SS00004598","C030552","",198
"P00013012","SS00004599","C021811",1,36
"P00013013","SS00004599","C023387","",2726
"P00013014","SS00004599","C014676",1,29
"P00013015","SS00004599","C000508","",362
"P00013016","SS00004600","C030541","",156
"P00013017","SS00004600","C031790","",234
"P00013018","SS00004601","C020210","",128
"P00013019","SS00004601","C026429",1,36
"P00013020","SS00004602","C028375",1,44
"P00013021","SS00004602","C032422","",680
"P00013022","SS00004603","C025619","",115
"P00013023","SS00004603","C027688","",186
"P00013024","SS00004604","C000857","",227
"P00013025","SS00004604","C015137",1,15
"P00013026","SS00004604","C018765",1,36
"P00013027","SS00004604","C026973","",763
"P00013028","SS00004605","C019389","",140
"P00013029","SS00004605","C001427","",1361
"P00013030","SS00004606","C018406","",139
"P00013031","SS00004606","C026267","",133
"P00013032","SS00004607","C004353","",125
"P00013033","SS00004607","C011530","",134
"P00013034","SS00004608","C016055","",1989
"P00013035","SS00004608","C028655",1,41
"P00013036","SS00004608","C027159",1,32
"P00013037","SS00004609","C033629","",1338
"P00013038","SS00004609","C028518","",214
"P00013039","SS00004610","C002566","",136
"P00013040","SS00004610","C010691","",231
"P00013041","SS00004611","C014815",1,11
"P00013042","SS00004611","C002870","",167
"P00013043","SS00004611","C019673","",963
"P00013044","SS00004611","C005106","",1790
"P00013045","SS00004611","C030209","",798
"P00013046","SS00004612","C009371","",172
"P00013047","SS00004612","C007953","",168
"P00013048","SS00004612","C014203",1,31
"P00013049","SS00004613","C011627","",164
"P00013050","SS00004613","C004916","",516
"P00013051","SS00004614","C004245","",90
"P00013052","SS00004614","C018839","",147
"P00013053","SS00004615","C018307",1,44
"P00013054","SS00004615","C013856",1,11
"P00013055","SS00004615","C002287","",148
"P00013056","SS00004616","C030423","",1487
"P00013057","SS00004616","C022180","",224
"P00013058","SS00004617","C000381","",386
"P00013059","SS00004617","C033318","",1501
"P00013060","SS00004617","C001413","",225
"P00013061","SS00004618","C029458","",308
"P00013062","SS00004618","C002101",1,18
"P00013063","SS00004618","C031990","",218
"P00013064","SS00004619","C008645",1,33
"P00013065","SS00004619","C031206","",164
"P00013066","SS00004620","C011311","",1109
"P00013067","SS00004620","C026073","",160
"P00013068","SS00004620","C000440","",121
"P00013069","SS00004620","C001217",1,42
"P00013070","SS00004621","C029212","",162
"P00013071","SS00004621","C016981","",183
"P00013072","SS00004622","C022247",1,21
"P00013073","SS00004622","C027378","",318
"P00013074","SS00004623","C022825","",102
"P00013075","SS00004623","C006420","",200
"P00013076","SS00004623","C032906",1,44
"P00013077","SS00004623","C032478","",169
"P00013078","SS00004624","C005321","",86
"P00013079","SS00004624","C016869","",905
"P00013080","SS00004624","C006622","",96
"P00013081","SS00004624","C003421","",199
"P00013082","SS00004625","C005887",1,36
"P00013083","SS00004625","C033657",1,25
"P00013084","SS00004625","C013357",1,21
"P00013085","SS00004625","C025152","",121
"P00013086","SS00004626","C002597",1,22
"P00013087","SS00004626","C029354",1,38
"P00013088","SS00004626","C017948","",143
"P00013089","SS00004626","C003725","",936
"P00013090","SS00004627","C022683",1,17
"P00013091","SS00004627","C032405",1,18
"P00013092","SS00004627","C009497","",210
"P00013093","SS00004628","C033384","",1966
"P00013094","SS00004628","C031315",1,31
"P00013095","SS00004628","C008387","",246
"P00013096","SS00004629","C001561","",198
"P00013097","SS00004629","C016233",1,6
"P00013098","SS00004629","C014631","",153
"P00013099","SS00004630","C023683","",232
"P00013100","SS00004630","C017045","",194
"P00013101","SS00004630","C017153","",204
"P00013102","SS00004631","C022269","",139
"P00013103","SS00004631","C000447",1,8
"P00013104","SS00004632","C019387","",188
"P00013105","SS00004632","C003017","",2573
"P00013106","SS00004633","C022501","",605
"P00013107","SS00004633","C032533","",319
"P00013108","SS00004634","C014827","",894
"P00013109","SS00004634","C015274",1,23
"P00013110","SS00004634","C023849",1,16
"P00013111","SS00004635","C025712","",1413
"P00013112","SS00004635","C028878","",2154
"P00013113","SS00004635","C024542",1,7
"P00013114","SS00004636","C018655","",1179
"P00013115","SS00004636","C015647",1,42
"P00013116","SS00004637","C005603","",2009
"P00013117","SS00004637","C012737","",163
"P00013118","SS00004637","C018766",1,26
"P00013119","SS00004637","C001200","",182
"P00013120","SS00004638","C002190",1,17
"P00013121","SS00004638","C003807","",205
"P00013122","SS00004638","C025832","",99
